id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
262,1,3000000,Y,N,1085,Gold,21,Mon,8.2,9/4/2017,,
263,1,7000,Y,N,100,Bronze,21,Mon,6.5,9/4/2017,,
264,1,6000,Y,N,67,Bronze,21,Mon,7.6,9/4/2017,,
265,1,11000,Y,N,23,Bronze,21,Tue,6.5,9/5/2017,,
266,1,2000000,Y,N,319,Gold,21,Wed,8.2,9/6/2017,,
267,2,3000000,Y,Y,32,Bronze,21,Wed,8.2,9/6/2017,,
268,11,1000000000,Y,Y,56,No Medal,21,Thu,7.1,9/7/2017,,
269,1,81000000,N,Y,27,Bronze,21,Fri,6.3,9/8/2017,,
270,1,19000,Y,N,47,Bronze,21,Sat,8.2,9/9/2017,,
271,17,6000000,Y,Y,16,Bronze,21,Sun,8.2,9/10/2017,,
272,1,9000000,Y,N,63,Bronze,21,Wed,8.2,9/13/2017,,
273,1,85000000,Y,N,1529,Gold,21,Thu,8.8,9/14/2017,,
274,167,2000000,Y,Y,236,Silver,21,Thu,7.6,9/14/2017,,
275,1,97000,Y,N,88,Bronze,21,Fri,8.5,9/15/2017,,
276,1,2000000,Y,N,122,Bronze,21,Sat,8.2,9/16/2017,,
277,7,139000000,Y,Y,419,Gold,21,Sun,7.9,9/17/2017,,
278,1,112000000,N,Y,43,Bronze,21,Tue,8.8,9/19/2017,,
279,2,111000000,Y,Y,227,Silver,21,Wed,5.3,9/20/2017,,
280,2,28000000,Y,N,606,Gold,21,Thu,8.5,9/21/2017,,
281,3,292000,Y,N,431,Gold,21,Thu,7.4,9/21/2017,,
282,3,99000000,Y,Y,57,Bronze,21,Thu,8.2,9/21/2017,,
283,1,26000000,Y,N,1066,Gold,21,Fri,8.8,9/22/2017,,
284,3,731000,Y,N,32,No Medal,21,Fri,3.5,9/22/2017,,
285,5,1000000,Y,N,415,Gold,21,Sat,8.5,9/23/2017,,
286,4,3000000,Y,Y,220,Silver,21,Sat,7.6,9/23/2017,,
287,1,3000,Y,N,90,Silver,21,Sun,5.9,9/24/2017,,
288,2,23000000,Y,N,22,No Medal,21,Sun,4.1,9/24/2017,,
289,1,8000,Y,N,51,Bronze,21,Mon,8.2,9/25/2017,,
290,1,119000,Y,N,166,Silver,21,Mon,2.9,9/25/2017,,
291,1,18000,Y,N,205,Gold,21,Tue,6.5,9/26/2017,,
292,2,13000000,Y,N,728,Gold,21,Tue,8.8,9/26/2017,,
293,1,627000,N,Y,7,No Medal,21,Tue,8.2,9/26/2017,,
294,169,4000000,Y,Y,171,Silver,21,Fri,7.6,9/29/2017,,
295,1,48000,Y,N,1011,Gold,21,Sat,8.2,9/30/2017,,
296,2,133000,Y,N,114,Bronze,21,Sat,7.4,9/30/2017,,
297,5,13000000,Y,N,123,Silver,22,Sun,7.6,10/1/2017,,
298,1,102000,N,Y,9,Bronze,22,Sun,8.1,10/1/2017,,
299,1,4000000,Y,N,170,Bronze,22,Thu,7.1,10/5/2017,,
300,279,102000000,Y,Y,230,Silver,22,Thu,7.6,10/5/2017,,
301,9,7000000,N,Y,38,Bronze,22,Fri,8.1,10/6/2017,,
302,1,1000000,N,Y,48,Bronze,22,Sat,6.5,10/7/2017,,
303,3,7000,N,Y,41,Bronze,22,Tue,8.8,10/10/2017,,
304,2,2000000,Y,N,49,No Medal,22,Tue,7.1,10/10/2017,,
305,1,7000,Y,N,95,Silver,22,Wed,8.2,10/11/2017,,
306,2,1000000,Y,Y,9,No Medal,22,Wed,7.1,10/11/2017,,
